month,day,time,light,location,intersection,atmosphere,collision,municipality,department,road,traffic,nblanes,reslane,laneprofile,plan,surface,user,sex,route,pedlocation,pedaction,pedcondition,birth,dirtraffic,catvehicle,nboccupants,obstacle,movobstacle,impact,maneuver
6.0,1.0,1830.0,1.0,1.0,4.0,1.0,1.0,79.0,610.0,3.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,1992.0,2.0,7.0,0.0,0.0,2.0,2.0,1.0
3.0,10.0,1530.0,1.0,2.0,1.0,1.0,2.0,8.0,930.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1966.0,0.0,7.0,0.0,0.0,0.0,4.0,23.0
5.0,17.0,1625.0,1.0,1.0,1.0,1.0,1.0,255.0,740.0,3.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,2002.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0
8.0,5.0,1655.0,1.0,1.0,1.0,1.0,6.0,404.0,630.0,1.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,1961.0,1.0,7.0,0.0,4.0,0.0,7.0,1.0
10.0,15.0,350.0,3.0,1.0,1.0,1.0,6.0,117.0,130.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,1999.0,1.0,7.0,0.0,3.0,0.0,1.0,1.0
5.0,8.0,1730.0,1.0,2.0,1.0,1.0,6.0,33.0,940.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1973.0,0.0,7.0,0.0,0.0,1.0,1.0,1.0
3.0,3.0,110.0,5.0,2.0,4.0,1.0,5.0,55.0,130.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1988.0,2.0,32.0,0.0,0.0,2.0,8.0,1.0
6.0,2.0,1600.0,1.0,2.0,2.0,1.0,3.0,69.0,310.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,1994.0,1.0,7.0,0.0,0.0,2.0,1.0,15.0
3.0,17.0,2220.0,5.0,2.0,1.0,1.0,3.0,528.0,780.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1992.0,2.0,7.0,0.0,0.0,2.0,2.0,0.0
8.0,22.0,1550.0,1.0,1.0,2.0,1.0,3.0,595.0,760.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,2005.0,1.0,7.0,0.0,0.0,2.0,2.0,1.0
9.0,7.0,1050.0,1.0,2.0,1.0,1.0,2.0,315.0,680.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,9.0,0.0,0.0,0.0,1945.0,2.0,7.0,0.0,1.0,0.0,6.0,1.0
10.0,22.0,2355.0,5.0,2.0,1.0,2.0,6.0,201.0,910.0,3.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,1979.0,1.0,7.0,0.0,6.0,0.0,1.0,19.0
12.0,2.0,2030.0,5.0,2.0,2.0,1.0,4.0,104.0,750.0,4.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1968.0,1.0,31.0,0.0,0.0,2.0,8.0,9.0
5.0,31.0,1814.0,1.0,2.0,2.0,1.0,3.0,7.0,490.0,4.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,1993.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0
