month,day,time,light,location,intersection,atmosphere,collision,municipality,department,road,traffic,nblanes,reslane,laneprofile,plan,surface,user,sex,route,pedlocation,pedaction,pedcondition,birth,dirtraffic,catvehicle,nboccupants,obstacle,movobstacle,impact,maneuver
1,11,1820,5,2,1,1.0,1.0,477,590,3,2.0,2.0,2.0,1.0,1.0,1.0,1,1,9.0,0.0,0.0,0.0,1968.0,0.0,7,0,0.0,2.0,3.0,9.0
1,11,1820,5,2,1,1.0,1.0,477,590,3,2.0,2.0,2.0,1.0,1.0,1.0,2,2,9.0,0.0,0.0,0.0,1973.0,0.0,7,0,0.0,2.0,3.0,9.0
1,11,1820,5,2,1,1.0,1.0,477,590,3,2.0,2.0,2.0,1.0,1.0,1.0,1,1,1.0,0.0,0.0,0.0,1967.0,0.0,10,0,0.0,2.0,3.0,13.0
2,13,1630,1,2,3,1.0,3.0,5,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,1953.0,0.0,7,0,0.0,0.0,1.0,16.0
2,13,1630,1,2,3,1.0,3.0,5,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,5.0,0.0,0.0,0.0,1960.0,0.0,1,0,0.0,0.0,7.0,1.0
3,7,1150,1,2,9,1.0,5.0,52,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,1973.0,0.0,10,0,0.0,2.0,1.0,1.0
3,7,1150,1,2,9,1.0,5.0,52,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,1938.0,0.0,7,0,0.0,2.0,3.0,13.0
3,7,1150,1,2,9,1.0,5.0,52,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,9.0,0.0,0.0,0.0,1992.0,0.0,7,0,0.0,2.0,6.0,1.0
3,7,1150,1,2,9,1.0,5.0,52,590,3,2.0,2.0,0.0,1.0,0.0,1.0,2,2,1.0,0.0,0.0,0.0,2015.0,0.0,7,0,0.0,2.0,6.0,1.0
4,22,1300,1,2,1,1.0,6.0,5,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,2,1.0,0.0,0.0,0.0,1960.0,0.0,7,0,6.0,0.0,1.0,1.0
5,20,1230,1,2,1,1.0,2.0,11,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,1974.0,0.0,33,0,1.0,2.0,1.0,1.0
5,20,1230,1,2,1,1.0,2.0,11,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,1991.0,0.0,7,0,0.0,2.0,5.0,19.0
5,30,1400,1,1,1,1.0,7.0,5,590,3,2.0,2.0,0.0,1.0,1.0,1.0,1,1,5.0,0.0,0.0,0.0,1981.0,0.0,34,0,12.0,0.0,1.0,17.0
6,30,2140,1,2,1,1.0,3.0,477,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,1979.0,0.0,2,0,1.0,0.0,1.0,13.0
6,30,2140,1,2,1,1.0,3.0,477,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,1974.0,0.0,7,0,0.0,0.0,0.0,1.0
7,7,1740,1,2,1,1.0,1.0,477,590,4,2.0,2.0,0.0,1.0,1.0,1.0,1,2,0.0,0.0,0.0,0.0,1961.0,0.0,7,0,0.0,0.0,1.0,19.0
7,7,1740,1,2,1,1.0,1.0,477,590,4,2.0,2.0,0.0,1.0,1.0,1.0,1,1,5.0,0.0,0.0,0.0,1955.0,0.0,33,0,0.0,0.0,1.0,1.0
12,21,830,1,1,1,2.0,6.0,5,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,1991.0,0.0,7,0,2.0,0.0,4.0,2.0
12,21,830,1,1,1,2.0,6.0,5,590,3,2.0,2.0,0.0,1.0,0.0,1.0,2,2,1.0,0.0,0.0,0.0,1964.0,0.0,7,0,2.0,0.0,4.0,2.0
12,21,830,1,1,1,2.0,6.0,5,590,3,2.0,2.0,0.0,1.0,0.0,1.0,2,1,1.0,0.0,0.0,0.0,1987.0,0.0,7,0,2.0,0.0,4.0,2.0
6,29,620,2,1,6,1.0,7.0,250,590,2,3.0,4.0,0.0,1.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,1969.0,1.0,33,0,0.0,0.0,0.0,1.0
7,7,1715,1,2,9,1.0,6.0,51,590,3,2.0,2.0,2.0,1.0,0.0,1.0,1,1,4.0,0.0,0.0,0.0,1981.0,2.0,17,0,0.0,1.0,2.0,1.0
7,7,1715,1,2,9,1.0,6.0,51,590,3,2.0,2.0,2.0,1.0,0.0,1.0,3,1,5.0,0.0,0.0,1.0,1957.0,2.0,17,0,0.0,1.0,2.0,1.0
9,24,1638,1,1,1,1.0,7.0,524,590,3,2.0,2.0,0.0,1.0,2.0,1.0,1,2,5.0,0.0,0.0,0.0,1995.0,0.0,33,0,13.0,0.0,1.0,1.0
11,30,715,2,1,1,2.0,1.0,257,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,9.0,0.0,0.0,0.0,1977.0,0.0,7,0,0.0,2.0,3.0,0.0
11,30,715,2,1,1,2.0,1.0,257,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,4.0,0.0,0.0,0.0,1962.0,0.0,14,0,0.0,2.0,3.0,0.0
12,17,1630,3,1,1,2.0,1.0,524,590,3,2.0,2.0,0.0,1.0,1.0,2.0,1,2,0.0,0.0,0.0,0.0,1986.0,0.0,7,0,0.0,2.0,1.0,1.0
12,17,1630,3,1,1,2.0,1.0,524,590,3,2.0,2.0,0.0,1.0,1.0,2.0,1,1,0.0,0.0,0.0,0.0,1955.0,0.0,7,0,0.0,2.0,1.0,5.0
1,5,605,5,1,1,1.0,7.0,586,590,3,2.0,2.0,1.0,1.0,3.0,7.0,1,1,1.0,0.0,0.0,0.0,1998.0,0.0,31,0,0.0,0.0,8.0,2.0
3,17,800,1,2,1,1.0,5.0,256,590,3,2.0,2.0,0.0,1.0,1.0,1.0,1,1,4.0,0.0,0.0,0.0,1970.0,0.0,10,0,0.0,2.0,8.0,17.0
3,17,800,1,2,1,1.0,5.0,256,590,3,2.0,2.0,0.0,1.0,1.0,1.0,1,1,1.0,0.0,0.0,0.0,1983.0,0.0,33,0,0.0,2.0,7.0,17.0
3,17,800,1,2,1,1.0,5.0,256,590,3,2.0,2.0,0.0,1.0,1.0,1.0,1,1,4.0,0.0,0.0,0.0,1977.0,0.0,14,0,0.0,2.0,3.0,1.0
5,10,940,1,2,1,1.0,6.0,586,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,3.0,0.0,0.0,0.0,1984.0,1.0,7,0,0.0,1.0,2.0,1.0
5,10,940,1,2,1,1.0,6.0,586,590,3,2.0,2.0,0.0,1.0,0.0,1.0,3,2,3.0,3.0,3.0,1.0,1938.0,1.0,7,0,0.0,1.0,2.0,1.0
6,20,1410,1,1,3,7.0,3.0,34,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,1993.0,0.0,7,0,0.0,0.0,3.0,15.0
6,20,1410,1,1,3,7.0,3.0,34,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,1987.0,0.0,33,0,0.0,2.0,1.0,17.0
8,9,745,1,1,6,1.0,3.0,34,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,1984.0,0.0,1,0,0.0,2.0,2.0,2.0
8,9,745,1,1,6,1.0,3.0,34,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,1967.0,0.0,7,0,0.0,2.0,8.0,2.0
9,26,845,1,1,1,1.0,6.0,256,590,3,2.0,2.0,0.0,1.0,1.0,1.0,1,1,1.0,0.0,0.0,0.0,1986.0,0.0,33,0,0.0,2.0,1.0,17.0
9,26,845,1,1,1,1.0,6.0,256,590,3,2.0,2.0,0.0,1.0,1.0,1.0,1,1,1.0,0.0,0.0,0.0,1993.0,0.0,7,0,0.0,2.0,8.0,15.0
9,25,815,1,1,2,1.0,5.0,129,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,2,1.0,0.0,0.0,0.0,1994.0,0.0,7,0,0.0,0.0,7.0,19.0
9,25,815,1,1,2,1.0,5.0,129,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,2,1.0,0.0,0.0,0.0,1960.0,1.0,7,0,0.0,2.0,1.0,1.0
9,25,815,1,1,2,1.0,5.0,129,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,1999.0,0.0,7,0,0.0,2.0,2.0,23.0
12,27,1200,1,1,2,1.0,3.0,586,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,5.0,0.0,0.0,0.0,1955.0,0.0,1,0,0.0,2.0,1.0,1.0
12,27,1200,1,1,2,1.0,3.0,586,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,2,0.0,0.0,0.0,0.0,1997.0,0.0,7,0,0.0,2.0,6.0,19.0
9,16,1855,1,2,1,1.0,3.0,452,590,3,2.0,2.0,0.0,1.0,1.0,1.0,1,2,5.0,0.0,0.0,0.0,1981.0,2.0,7,0,0.0,0.0,6.0,15.0
9,16,1855,1,2,1,1.0,3.0,452,590,3,2.0,2.0,0.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,0.0,1986.0,2.0,2,0,0.0,2.0,1.0,17.0
1,26,2250,3,1,1,1.0,6.0,84,590,3,2.0,2.0,0.0,4.0,2.0,1.0,1,1,0.0,0.0,0.0,0.0,1993.0,1.0,7,0,13.0,0.0,1.0,19.0
4,11,1115,1,1,1,1.0,6.0,578,590,3,2.0,2.0,0.0,1.0,1.0,1.0,1,2,0.0,0.0,0.0,0.0,1996.0,2.0,7,0,2.0,0.0,1.0,1.0
4,10,1545,1,2,2,1.0,3.0,308,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,2000.0,1.0,31,0,0.0,2.0,1.0,1.0
4,10,1545,1,2,2,1.0,3.0,308,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,2,0.0,0.0,0.0,0.0,1973.0,2.0,7,0,0.0,0.0,8.0,15.0
7,16,2220,3,1,1,1.0,6.0,416,590,3,2.0,2.0,0.0,1.0,1.0,1.0,1,2,5.0,0.0,0.0,0.0,1987.0,2.0,7,0,0.0,0.0,1.0,0.0
8,5,955,1,2,3,1.0,3.0,84,590,4,,,,,,,1,1,3.0,0.0,0.0,0.0,1981.0,0.0,30,0,0.0,2.0,5.0,15.0
8,5,955,1,2,3,1.0,3.0,84,590,4,,,,,,,2,2,3.0,0.0,0.0,0.0,2009.0,0.0,30,0,0.0,2.0,5.0,15.0
8,5,955,1,2,3,1.0,3.0,84,590,4,,,,,,,1,1,5.0,0.0,0.0,0.0,1968.0,0.0,7,0,0.0,2.0,2.0,1.0
9,21,1830,1,1,1,1.0,6.0,84,590,3,2.0,2.0,0.0,1.0,2.0,1.0,1,1,5.0,0.0,0.0,0.0,1956.0,1.0,33,0,13.0,0.0,1.0,14.0
10,3,710,5,2,1,1.0,6.0,416,590,3,2.0,2.0,0.0,1.0,1.0,1.0,1,1,1.0,0.0,0.0,0.0,1970.0,1.0,7,0,0.0,1.0,1.0,1.0
10,3,710,5,2,1,1.0,6.0,416,590,3,2.0,2.0,0.0,1.0,1.0,1.0,3,2,2.0,4.0,3.0,2.0,2000.0,1.0,7,0,0.0,1.0,1.0,1.0
10,3,1600,1,1,3,1.0,2.0,308,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,1975.0,1.0,33,0,0.0,2.0,1.0,2.0
10,3,1600,1,1,3,1.0,2.0,308,590,3,2.0,2.0,0.0,1.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,1962.0,1.0,7,0,0.0,0.0,4.0,2.0
10,22,1030,1,1,1,1.0,2.0,84,590,3,2.0,2.0,0.0,1.0,1.0,1.0,1,1,4.0,0.0,0.0,0.0,1962.0,0.0,21,0,0.0,0.0,6.0,1.0
10,22,1030,1,1,1,1.0,2.0,84,590,3,2.0,2.0,0.0,1.0,1.0,1.0,1,1,5.0,0.0,0.0,0.0,1947.0,0.0,7,0,0.0,9.0,2.0,1.0
11,1,1900,3,1,1,1.0,6.0,634,590,3,2.0,2.0,0.0,1.0,2.0,1.0,1,1,5.0,0.0,0.0,0.0,1998.0,2.0,7,0,0.0,1.0,1.0,1.0
